,,Population,Med Wkly Rent,Tot house weekly income,Sep Males,Perc Unemplo,,,,
LGA,area_sqkm,B3,B112,B115,B618,B5497,DVA,Sep_Males_Rate,DVA_Rate,Population Density
Albury,305.931,47810,195,1025,536,5.8,3955,0.011211044,0.08272328,156.277069
Armidale Dumaresq,4230.83,24105,200,991,267,7.4,1975,0.01107654,0.081933209,5.697463618
Ashfield,8.28119,41214,365,1413,396,6.1,1681,0.009608386,0.040787111,4976.820964
Auburn,32.4769,73738,350,1160,768,8.6,3797,0.010415254,0.051493124,2270.475322
Ballina,484.716,39274,290,930,462,6.3,2487,0.011763508,0.063324337,81.02476502
Bankstown,76.8001,182352,310,1091,2094,7.6,10427,0.011483285,0.057180618,2374.371908
Bathurst Regional,3816.43,38519,220,1142,452,5.4,3095,0.011734469,0.080349957,10.09294026
Bega Valley,6278.96,31950,200,848,420,6,1791,0.01314554,0.056056338,5.088422286
Bellingen,1600.38,12518,225,787,183,8,580,0.014618949,0.04633328,7.821892301
Berrigan,2065.93,8066,145,776,120,4.4,305,0.014877263,0.037813042,3.904294918
Blacktown,240.105,301099,300,1388,3263,7.2,29517,0.010836967,0.09803088,1254.030528
Bland,8557.71,5865,130,879,65,3.5,350,0.011082694,0.059676044,0.685346898
Blayney,1524.88,6985,165,1092,99,4.8,309,0.014173228,0.044237652,4.580688316
Blue Mountains,1431.15,75942,280,1270,803,4.9,3574,0.010573859,0.047062232,53.06362017
Bogan,14600.48,2900,140,902,40,5.7,372,0.013793103,0.128275862,0.198623607
Botany Bay,21.6868,39356,330,1245,461,5.3,2117,0.011713589,0.053791036,1814.744453
Bourke,41604.45,2868,83,1085,52,5.1,2249,0.018131102,0.784170153,0.068934934
Broken Hill,170.294,18517,150,786,276,8.3,2897,0.014905222,0.156450829,108.735481
Burwood,7.12817,32423,400,1310,243,6.8,1174,0.00749468,0.036208864,4548.572775
Byron,565.847,29209,350,885,406,8.5,1724,0.013899825,0.059022904,51.61996087
Cabonne,6023.93,12821,135,1036,150,3.8,607,0.011699555,0.047344201,2.128344785
Camden,201.263,56720,360,1727,538,4,2441,0.00948519,0.043035966,281.8203048
Campbelltown,312.14,145967,260,1251,1789,7.4,16442,0.012256195,0.112641899,467.6331133
Canada Bay,19.8934,75763,480,1817,613,4.3,1758,0.008091021,0.023203939,3808.449033
Canterbury,33.5639,137454,300,1029,1496,8.2,6239,0.010883641,0.04538973,4095.292859
Cessnock,1965.41,50840,230,1042,734,6.5,4504,0.014437451,0.08859166,25.86737627
Clarence Valley,10428.77,49665,210,768,775,8.9,3056,0.01560455,0.061532266,4.762306581
Cobar,45571.01,4710,143,1259,74,4.4,594,0.015711253,0.12611465,0.103355181
Coffs Harbour,1173.74,68413,250,902,957,8.3,5758,0.013988569,0.08416529,58.28633258
Coolamon,2430.93,4099,125,857,53,3.6,183,0.012929983,0.044645035,1.686185945
Cooma-Monaro,5184.54,9772,180,943,126,4.7,463,0.012893983,0.04738027,1.884834527
Coonamble,9915.85,4030,120,816,54,8.1,962,0.013399504,0.238709677,0.406420025
Cootamundra,1523.75,7334,150,768,93,5.5,607,0.012680665,0.082765203,4.813125513
Corowa Shire,2329.25,11000,180,873,158,4.8,575,0.014363636,0.052272727,4.722550177
Cowra,2808.67,12147,155,785,184,6.8,1261,0.015147773,0.103811641,4.324822781
Deniliquin,143.188,7120,150,856,119,4.6,697,0.016713483,0.097893258,49.72483728
Dubbo,3425.68,38805,200,1096,422,4.9,5204,0.010874887,0.13410643,11.32767801
Dungog,2250.02,8318,185,1005,95,4.4,395,0.011421015,0.047487377,3.696856028
Eurobodalla,3428.17,35741,220,784,539,7.5,2427,0.01508072,0.067905207,10.42567901
Fairfield,101.522,187766,280,1022,2438,9.7,11962,0.012984246,0.063706954,1849.510451
Forbes,4718.07,9170,150,832,126,5.4,1054,0.013740458,0.114940022,1.943591341
Gilgandra,4832.01,4368,125,771,55,6.2,575,0.012591575,0.131639194,0.903971639
Glen Innes Severn,5480.36,8656,155,734,126,6.7,750,0.014556377,0.086645102,1.579458284
Gloucester,2950.17,4877,165,810,72,5.3,248,0.014763174,0.050850933,1.653125074
Gosford,939.888,162440,280,1089,2111,6.1,8257,0.012995568,0.050831076,172.829103
Goulburn Mulwaree,3220.01,27481,185,981,433,5.7,2065,0.015756341,0.075142826,8.534445545
Great Lakes,3373.33,34430,220,729,522,8.3,2825,0.015161197,0.082050537,10.20653182
Greater Hume Shire,5749.28,9815,150,943,118,4.1,320,0.012022415,0.032603158,1.707170289
Greater Taree,3729.05,46541,200,770,734,9.3,4249,0.015771041,0.091295847,12.48065861
Griffith,1639.94,24364,180,1065,272,4.9,2699,0.011164012,0.110778197,14.8566411
Gundagai,2457.14,3662,140,907,42,4.2,235,0.011469143,0.064172583,1.49035057
Gunnedah,4987.41,12066,190,937,165,6,1072,0.013674789,0.088844688,2.419291777
Guyra,4389.55,4397,150,805,67,6.5,546,0.015237662,0.124175574,1.001697213
Gwydir,9262.36,4965,100,726,83,5.1,190,0.016717019,0.038267875,0.536040491
Harden,1868.25,3584,140,763,56,5.9,211,0.015625,0.058872768,1.918372809
Hawkesbury,2774.64,62353,280,1385,766,4.6,3896,0.012284894,0.06248296,22.4724649
Hay,11326.02,2956,125,805,40,3.6,285,0.0135318,0.096414073,0.260991946
Holroyd,40.1814,99163,330,1209,1090,7.2,6650,0.010992003,0.067061303,2467.88315
Hornsby,462.107,156847,400,1824,1017,4.8,3218,0.006484026,0.020516809,339.4170614
Hunters Hill,5.71706,13215,390,2178,90,3.6,250,0.006810443,0.018917896,2311.502765
Hurstville,22.7241,78855,350,1284,636,6.1,3290,0.008065437,0.041722148,3470.104427
Inverell,8594.94,16075,160,792,223,7.3,1892,0.013872473,0.117698289,1.870286471
Junee,2030,5878,155,895,88,5,384,0.014971079,0.065328343,2.895566502
Kempsey,3375.67,28134,190,748,514,8.9,3696,0.018269709,0.131371295,8.334345478
Kiama,257.743,19986,300,1234,189,4.3,533,0.00945662,0.026668668,77.54235809
Kogarah,15.5479,55806,380,1463,443,5.5,2014,0.007938215,0.036089309,3589.295017
Ku-ring-gai,85.3976,109297,575,2508,489,4.4,1128,0.004474048,0.010320503,1279.860324
Kyogle,3584.02,9228,170,714,130,9.2,631,0.01408756,0.068378847,2.574762418
Lachlan,14965.41,6476,110,846,87,4.7,1027,0.013434219,0.158585547,0.432731212
Lake Macquarie,647.987,189006,255,1117,2104,5.3,11418,0.011131922,0.060410781,291.6817776
Lane Cove,10.4795,31510,420,2181,211,3.7,514,0.006696287,0.016312282,3006.822845
Leeton,1166.95,11037,160,966,150,4.3,1108,0.01359065,0.100389599,9.457988774
Leichhardt,10.5498,52198,480,2234,498,4,1955,0.009540595,0.037453542,4947.771522
Lismore,1287.79,42766,224,907,594,8.2,3960,0.013889538,0.092596923,33.20883063
Lithgow,4511.85,20160,170,896,298,7.2,1608,0.014781746,0.079761905,4.468233651
Liverpool,305.431,180143,295,1299,2085,7,12350,0.011574138,0.068556647,589.7993327
Liverpool Plains,5082.31,7480,150,797,84,6,523,0.011229947,0.069919786,1.471771694
Lockhart,2895.85,2998,100,868,36,4.4,120,0.012008005,0.040026684,1.035274617
Maitland,391.517,67478,259,1292,755,5,5003,0.011188832,0.074142684,172.3501151
Manly,14.3552,39747,520,2221,319,3.6,1162,0.008025763,0.029234911,2768.822448
Marrickville,16.5196,76500,370,1605,864,5.3,5136,0.011294118,0.067137255,4630.862733
Mid-Western Regional,8752.79,22318,200,929,337,5.7,1711,0.015099919,0.076664576,2.549815545
Moree Plains,17905.95,13429,140,1053,152,6,3447,0.011318788,0.256683297,0.749974171
Mosman,8.65099,27453,473,2465,204,3.7,534,0.007430882,0.019451426,3173.394028
Murray,4344.45,6957,200,845,101,4.6,255,0.014517752,0.03665373,1.601353451
Muswellbrook,3404.99,15791,230,1399,255,4.8,1346,0.016148439,0.085238427,4.637605397
Nambucca,1491.35,18644,195,700,264,10.7,1497,0.014160051,0.080293928,12.50142488
Narrabri,13014.07,12925,140,982,181,5.5,1328,0.014003868,0.102746615,0.993155869
Narrandera,4116.24,5902,140,810,90,5.2,685,0.015249068,0.116062352,1.433832818
Narromine,5260.39,6585,145,850,96,5.9,802,0.014578588,0.121791951,1.251808326
Newcastle,186.773,148535,275,1165,1718,5.7,11324,0.011566298,0.076237924,795.2701943
North Sydney,10.4726,62289,480,2205,652,3.7,1619,0.010467338,0.025991748,5947.806657
Oberon,3626.88,5040,170,988,70,4.8,243,0.013888889,0.048214286,1.38962414
Orange,283.938,38057,230,1161,409,4.4,3519,0.010747037,0.092466563,134.0327818
Palerang,5146.79,14352,250,1813,168,2.7,389,0.011705686,0.027104236,2.788534213
Parkes,5954.92,14592,150,882,194,4.9,1505,0.013294956,0.103138706,2.450410753
Parramatta,61.3565,166858,340,1288,1709,7,10772,0.010242242,0.064557888,2719.483673
Penrith,404.631,178467,300,1398,2289,5.5,14309,0.012825901,0.080177288,441.0611149
Pittwater,90.3284,57155,498,1819,489,3.5,1476,0.008555682,0.025824512,632.746733
Port Macquarie-Hastings,3683.02,72696,250,837,1025,6.9,4168,0.014099813,0.057334654,19.73814967
Port Stephens,858.473,64807,250,999,839,6.2,4295,0.012946132,0.066273705,75.49101719
Queanbeyan,172.361,37991,285,1657,514,2.9,2502,0.01352952,0.065857703,220.4152912
Randwick,36.3307,128989,440,1577,1173,5.5,5506,0.009093799,0.04268581,3550.413287
Richmond Valley,3047.39,22037,200,789,300,8,2386,0.013613468,0.108272451,7.231434112
Rockdale,28.2193,97340,370,1276,1074,5.9,4321,0.011033491,0.044390795,3449.412282
Ryde,40.4729,103038,370,1466,777,5.7,2633,0.007540907,0.025553679,2545.851669
Shellharbour,147.36,63605,250,1126,706,6.7,4078,0.011099756,0.064114456,431.6300217
Shoalhaven,4530.43,92812,220,822,1296,7.6,8122,0.013963712,0.087510236,20.4863556
Singleton,4892.83,22694,260,1692,282,3.3,1118,0.012426192,0.049264123,4.638215511
Snowy River,6030.38,7508,230,1154,121,2.1,286,0.016116143,0.038092701,1.245029335
Strathfield,13.8996,35188,400,1421,223,6.4,1290,0.006337388,0.036660225,2531.583643
